7330	I was born in flea bottom your blood is
12610	Noble
14400	you saying my father he was some Lord or
19770	yeah
22039	your father's house
31030	just a bastard
34480	the bastard of Robert of the house
36280	Baratheon
37720	first of his name king of the Andals in
40120	the first man why do you think the gold
43540	cloaks wanted you
46960	there is power in King's blood
49300	[Music]
54320	what's up ladies and gentlemen welcome
56460	back for another game of thorns season 8
58380	prediction video in today's video I
60390	wanted to talk about ginjury and what
62040	his purpose may be now that they brought
63750	this character back after he was gone
65670	for so many seasons but before I start
68070	talking about that I just want to remind
69750	everyone about the giveaway
71280	Game of Thrones Season 7 comes out on
73320	blu-ray and DVD in just a few weeks and
75480	I wanted to give a few copies away just
77310	to show my appreciation for those of you
79380	that continue to watch my videos I will
81630	be giving two copies away so that means
83670	two of you will be picked randomly all
85740	you need to do to enter is click the
87750	giveaway link that is done in the
89250	description of this video there are
91500	several ways to enter through that link
93420	which will increase your chances of
94950	winning the first winner will be picked
96570	in about a week or so so make sure you
98640	enter soon good luck to everyone who is
100800	participating now let's begin like I
103890	said at the beginning of this video I
105180	want to talk about gun jury and a few of
106890	the different reasons why I think they
108509	may have brought this character back
110070	into the main plot in my opinion I feel
112590	like they kept this character alive all
114600	these years for a reason Gendry has
116970	escaped death so many times throughout
118860	the course of this series it makes me
120540	believe he has a purpose to serve in the
122640	eighth and final season I actually want
125250	to go over some of the times he avoided
126960	death because it's easy to forget some
128910	of them and I am sure I will forget some
131010	instances myself but people have been
133560	trying to kill ginjury ever since season
135300	1 after his father King Robert Baratheon
137970	died Gendry had to flee King's Landing
140250	or else he would have been killed with
142200	all of Robert's other bastards
144209	luckily for Gendry his mentor topham
146970	aunt had a feeling this would happen so
149100	he made Gendry leave the shop or he was
151260	a blacksmith and this was one ginjury
153630	joined up with the Nights Watch and he
155610	was able to sneak out of the city with
157290	urine and Arya Stark that was
159780	technically the first time Gendry
161489	avoided death and his second time came
163530	shortly after that while he and Arya
165900	travelled to the wall the city watch
167549	came looking for Gentry again but at
169709	this time Gendry had no idea why he just
172739	knew it couldn't be for anything good
174269	but Joran risked his own life and made
176489	sure the city watch didn't take any of
178230	his recruits
179220	even though Joran was able to get the
181260	city watch to leave and only bought them
183090	a little bit of time
183959	because they had every intention of
185459	returning but this time they weren't
187319	going to leave without ginjury dead or
189329	alive
