1000	My name is patrick and i am a program manager on microsoft
9000	About progressive apps. Who has
20000	Define what it is, who has built one? all right, cool.
26000	About, it will be progressive web apps which is a marketing
33000	App feeling experiences in the web.
43000	We will go through high-level features and things that make
51000	Apple -- with actual implementation.
64000	I do work at microsoft. This is just from -- it's a
77000	The more popular ones and as katrina. She is normally with me when i
84000	Disney world and he is our
89000	Parent for the first time, they always tell you that, get sleep
97000	He is the easiest baby in the world.
101000	He had 103 fever but he was still chill as hell.
110000	We are from seattle. The one thing that
119000	In his car seat. He hates being strapped and so
127000	A few months of having him in seattle in our apartment, he
135000	Do not know where seattle is, just to be clear, it's right
145000	Above that, it's about a 2 1/2 hour
150000	In the car for so long so i did what most nerds would do, i
158000	Understand how baby's brains work but this comps him
164000	And stopped with literally a second every time.
172000	It works. I finally conquered him.
182000	This on my phone and he is calm . We get to vancouver and everything is great.
190000	Be clear, we were just hanging on the side of the road.
198000	Hours and we had a three-hour drive back to seattle or so.
208000	Crying like he always does and i pull out my phone to show tim
216000	Him and i get this. I have t-mobile to get the data
245000	Ct->> [ audio breaking up ]
509000	Light inside of the browser and ultimately influence and created
518000	Pertinent to what we are talking about today,
525000	Whole bunch of files that could be pre-downloaded and precast
532000	Subsets of problems and ultimately, it led to the
539000	Thing that i remember the most about app cash is this talk,
551000	This is a google chrome now and at the time, he was working for
557000	Implement an off sign -- off- line website and he had a lot
566000	Down the wrong road for a long time. The problems with app cash and
574000	Estate of the past so that we can properly avoid them in the
581000	File and you can make a list of the contents of that  app cash
585000	Have to define mantras just by saying
589000	That, you had to have a comment because the file had to be
602000	Index file but you do not see the,, the app cash would never
607000	There forever. If you did not have the
614000	App cash is terrible and there are a lot of problems with it.
624000	Imagine if the query is
630000	Unique files are there but app cash if they do not have it locally.
638000	And if you have anything that is generated on the client side
647000	Nearly impossible to maintain all those things.
654000	So because there is no way to know whether you
663000	Takes over  the entire domain and it just assumes everything
671000	Longer able to access it, even if you had the fastest internet
687000	Not only that, if you have a 200 hd responses on the, it is
692000	Exist and it sucks. Probably the worst thing is
698000	Nothing will ever get updated even if you comment stuff
706000	Terrible, it is a horrible api and it sucks.
714000	That we did not do any of this, in order to find out why
720000	Examples and implement them. The very first step of using a
729000	Looking like this zooid i been
736000	Year now and the firefox has them as well.
745000	Updated behind the flag and then by default in the
751000	They had a development for it on desktop and mobile but for
757000	All browsers so you want to do a feature detection.
767000	And if it does, it will return so, now that we know that it
778000	Navigator.Service. Worker.
789000	Work file and in that specific
796000	The reason is for security. If you load it like this, you
806000	Worker.Js. This will be able to control
810000	Files, whether it's a forum or email system -- service
820000	Take over the entire domain, that would be terrible.
827000	Domain but with service worker, we wanted to have it scoped .
834000	And you can have it from anywhere that you are from.
838000	From. Census was loaded from the website, it can control the
847000	Js, we can control any you're out that gets uploaded from/js.
857000	Registration process, you also enable this secondary argument
865000	That scope is just a -- an
873000	Worker and it will have a special header that will tell
881000	Is not with the header, it will fill out if
888000	Path and change scoped on their and they can change the
894000	We want to make sure everyone can be happy.
901000	-- You know how to handle earlier.
905000	Imagine, it is loading a file from the network and all new
913000	The idea is that any api has additional thing that hangs off
926000	You have this api and once you have completed, you pass the
933000	The result. In this case, we do not particularly care if anything
939000	That the site is available inside of a call back but it is
943000	Are available and aware of it. You do get the optional
953000	It but otherwise, is not particularly useful. Ultimately, the thing that is
959000	Promises have the catch api and that is the exact same thing.
965000	Promises by default so you do
969000	Catchable so if there is a problem, they were not throwing
977000	Stop all execution like most javascript would. You would have to catch and be
986000	To do so you could do some my console log out for development
994000	Sam and that is a new pi that send results to url and the
1005000	There is an error in the user and it closes the page or
1014000	It's really useful . Jumping into actual service workers,
1021000	Too deep, i want to talk about the name because it is weird
1028000	Like, wiser call the service worker? the reason is because of web
1033000	Have been around in the web for a long time.
1038000	Idea of a web worker came from worker pools and the idea is
1046000	Effectively, if you've ever had to implement a website and it gets grows quickly, that is
1055000	We do not know for fact that the piece of code that you are
1059000	Change delay of the page so we cannot do it on single operations.
1067000	Able to do a lot of external processing and we want to be able to allow for.
1074000	The api that is window worker and from within their, you are
1087000	The external thread inside the browser. From there, you have the post
1094000	Created and that allows you to send an object and a data from
1100000	External thread, from there, it does something with the data,
1106000	Back to result. You do not have direct access
1113000	Anything that you can do in the native javascript. You can do a lot of complex
1120000	The page. The key things that are
1129000	Worker reacts to the content you sent to them.
1134000	Web worker and service workers on the other hand react to
1140000	The browser and is able to respond to network request and
1149000	Get off of those experiences. If it's a cash network expense,
1156000	What does the web server look like? it is a javascript file in the
1166000	This. We have this and
