25800	tonight the issues and the controversy a
29460	thousand people have gathered at the
31780	City College of New York for a town
33880	meeting with Nelson Mandela
48260	Oh
76080	there's mr. Mandela mr. Nelson Mandela a
78840	free man taking these first steps into a
83610	new South Africa
90950	you gotta get 40 young men and women
93720	just for the placards you know
95760	everybody's excited now by Mandela so
97560	don't do it ticket she needs to send
106050	someone down to the office we need to
136810	we spend in the seven years at the
141260	primary wire is a 20 and pirate
146450	correcting on those years that I have
149510	wasted prison tell me how are we doing
151670	on Eddie Murphy and on DeNiro
155300	Robin Williams in the rest the opening
157430	act is going to be the amico and the co
159200	renegade which we deal man
160940	the Tracy Chapman comes down with her
162590	band we're flying her in and then mr.
165140	Mandela does his speech
168100	we must pledge to continue our united
172100	Apple for they are polishing up on the
175610	apartheid system you can see the
181580	increase in the confetti and in the
183860	ticker tape coming out of the windows in
185420	here is Nelson Mandela
201090	and now Thursday June 21st Nelson
206560	Mandela comes to Harlem
208180	seven years ago while he was still in
210849	prison in South Africa Mandela was
213220	awarded an honorary doctorate in
215319	abstention at this university today he
218860	comes to the City College of New York in
221560	person to participate in a town meeting
228810	ladies and gentlemen Nelson Mandela
312410	look company for a Talmudic Nelson
315720	Mandela
319070	mr. Mandela you're participating in what
321810	is a very old and honorable American
323850	tradition the Town Meeting and rather
325530	than waste any time with my questions if
327450	they don't ask you good ones I promise I
329040	will try to but I think we have some
331080	people out here who have some
332310	provocative and perhaps even
333750	controversial questions to ask you and
336060	I'd like to begin mr. Mandela
337760	you've come to the United States of
340080	America other than South Africa probably
343500	the most racially divided country in the
346080	world evidence of that is right here in
349320	New York City we are one of the most
351780	racially divided cities in the world
354260	blood of our children stained the
356850	sidewalks of New York Howard Beach
359990	Bensonhurst Yusef Hawkins Michael
363390	Griffith our grandmothers Eleanor
365730	bumpers mothers Yvonne Smallwood do you
369270	think that this country given its racial
372630	record and current history can assume
375600	the real credible and moral leadership
378960	in the fight against a party because
382470	it's hypocrisy is well known and one
385350	wonders whether it can really do what we
388980	wanted to do and if it can what role can
392220	we as Africans in America player
402789	if I may just ask you for your
405969	indulgence if you'd be good enough there
409240	will be some questions you'll like
410620	there'll be some questions you won't
412029	like let me just ask you though to save
414099	the time so that we can listen to
415539	Mandela's answers mr. Mandela's answers
417550	mr. Mandela I have received yeah I do
424029	not know whether I am in a mood to think
427409	: I have been deeply touched by this
432939	warm welcome but the respondent of the
436870	question I must say that the ANC and
444300	infected the entire mass Democratic
446830	movement in South Africa condemns a
450879	racialism wherever it may be found we
455529	are fighting a special kind of racialism
458680	in our own country and we expect to all
462939	people who are the victims of racialism
466439	to fight that in but I am here and I am
474610	primarily concerned with what are the
478629	people of the u.s. ill and his organs of
484300	government are doing to promote the
489219	struggle against apartheid in our
491169	country and I must say to you that we
496419	have the support not only of the masses
501610	of the people we have the support of the
505180	Congress as well as the government and I
510159	think that it would not be proper for me
513300	to delve into the controversial issues
518159	which are tearing the society of this
521769	country apart I am sure that the USA has
528089	produced a committed leaders of all of
532180	all population groups who are able to
535420	and yeah enough is very effectively let
539560	me follow up if I may on part of your
541450	answer you say you're sure you have the
543130	support of the people the Congress and
544899	the leadership the by the leadership you
547269	also mean the President of the United
548709	States you satisfied that you have his
550570	support well I am sure of one thing that
556620	he condemns apartheid as I do that is
561820	enough for us to find fed a common room
566440	with a president and this is the message
569320	that I'm going to put to him when I met
571300	him and when you say you have the
573339	support of Congress are you satisfied
574930	that you have enough votes in Congress
576610	to keep sanctions oddly I cannot say
579550	that lies in the future but when I
583209	address Congress the main thrust of my
587320	speech is that the Congress to support
590290	sanctions why are you so insistent mr.
594430	Mandela and then we'll go to a question
595870	at this microphone over here why are you
598420	so insistent upon maintaining sanctions
600880	at a time when it can be argued that the
603339	South African government has made more
605079	concessions your release being only one
607269	of them then it has ever made in the
609550	past 40 years
610420	I stood no better about this matter mr.
614769	Cockerell than you
625920	after all it is the agency not the
632260	government that is responsible for the
635740	present talks we have been hammering the
639640	government since 1986 to meet us ended
644920	and in spite of the humility and
649260	insulting conditions they tried to
652570	impose on us before they could agree to
657090	meeting us we nevertheless had
660400	sufficient patience and sufficient
663610	commitment to peace as to continue
666910	hammering them to meet us they have
670630	eventually done so but despite the fact
673900	that the talks are now all a part it is
679510	still in place
681120	the police are still killing our people
684910	as they've done over the years vigilante
689380	groups are openly arming themselves for
694240	the specific purpose of attacking
697290	progressive groups and progressive
699730	leaders their right wing is also amended
