880	welcome to this video great to have you
3010	here in this video we'll have a look at
5530	progressive Web Apps a super important
8469	topic extremely hot these days and a
10990	topic on which I created a very
12730	comprehensive course on udemy link can
15400	be found in the video description of
16720	course now in this video though I want
19390	to share the first module of this course
21099	with you there we'll have a look at the
23500	most important question what are
25089	progressive web apps we'll build our
27220	first little progressive web app
28779	together and we will learn which topics
32169	make up a progressive web app which
34090	features now we'll probably use some of
36910	these features in future projects on
38559	this channel and therefore I'd be more
40600	than happy to welcome you on the course
42010	but first let's dive into the first
44050	course module and learn these basics I
46629	mentioned
52530	while I can't do this course it's great
54760	to have you on board in this course
56920	we're going to dive super deep into the
59260	topic of progressive web apps now
62140	progressive web apps that is a term
64780	which is pretty hot these days but it is
67900	a topic which is definitely here to stay
70350	progressive web apps in the end describe
72640	a set of features of technologies you
75100	can add to your existing web
76810	applications to turn them into native
79630	app like native mobile app like
81729	experiences using device features like
84490	the camera and providing offline access
86640	now in this course you will learn all
89530	about what progressive web apps are why
92290	you might want to use them and you will
94509	of course use them and learn all the
96490	core technologies that make up this term
99009	progressive web app you will of course
101860	all learn this by building a real course
104530	project and adding these features step
106840	by step will start simple but will soon
109960	add a way to install our application on
112660	the home screen of a real mobile device
114640	we'll find a way of making our app
116830	available even if internet connections
118960	lost and will do way more will access
122170	the device camera and location will be
124780	able to send push notifications and
126820	synchronize data in the background even
129100	if we are offline this is what we'll
131890	build and learn in this course now who
133989	is teaching you my name is max moon
136150	Schwarz Mullah and I'm a freelance web
137890	developer I worked a lot with
139540	progressive web apps and I can tell you
141610	there's never been a better place or
143290	time to learn it the features which make
145959	up progressive web apps are well
147670	supported already you can already reach
150100	a huge audience with all these features
152650	and the cool thing is you build
154600	progressive web apps in a way that your
156489	web apps still work on older browsers
158530	too now is the time to learn it to be
161140	prepared for a future where probably
163540	every web application will be a
166000	progressive web application since it
168400	offers significant advantages and makes
171549	your application much more enjoyable to
173680	your users
178930	so let's dive into progressive web apps
181510	by answering one important question
183189	first what are progressive web apps
186159	it's a term which you might have heard
188290	already but sometimes it's hard to
190450	really say what it means in the end
193329	progressive web apps is just a term
195730	referring to a couple of features you
197980	can add to any web application to any
200260	web page running in the browser
201819	therefore to enhance it this is what
205390	progressive web apps in the end are
206590	about you progressively enhance your
208989	existing web pages to feel and work more
212709	like native mobile apps I'm not just
215470	talking about responsive design so that
218139	it looks good on both devices we're
220389	doing this since a couple of years
221980	already or you should be at least I'm
224530	talking about other things you know from
226540	native mobile apps like your app working
228939	if you're offline it having an icon on
231459	the home screen
232180	things like accessing the device camera
234819	or the location synchronizing data in
237819	the background these are all features
239950	which were hard to do in web
241870	applications in the past nowadays we got
245079	browser support in a lot of browsers for
248019	that and we can therefore use that now
251109	in this course I will show you how to
252940	use all these technologies which make up
255790	a progressive web app and of course I'll
257620	also explain which technologies these
259299	are and I will show you how to implement
261760	them in a way that it also works on
264130	older browsers that your web page still
266830	works on older browsers because that's
269080	the core thing you progressively enhance
271630	a web application it's not at all or
274150	nothing move it's not like it doesn't
276039	work on older browsers anymore it just
278199	means if you have a modern browser on a
280449	mobile device you get an awesome
282639	experience otherwise you'll get the
284500	experience you've gotten anyways there
287770	are three main words I'd say by which
290830	you can summarize progressive web apps
293020	they should be reliable which means they
295810	should load fast and even work if you're
298210	offline at least a part of the
300699	application should work if you're
301990	offline now this is really a core thing
305320	of progressive web apps we're talking a
307779	lot about that initial load the first
310270	time you wizard an application
311740	you open it because if you consider
313830	application running on your mobile
315610	device most of them start up pretty fast
318280	so long loading times you don't want
321430	that additionally it should be fast not
324610	just during load up but also when sand
327310	runs it should react to user input it
330160	should provide animations it should be
333490	able to access native device features in
335770	an intuitive way and we also want to
339310	make sure that it's engaging we want to
341800	get our users back into the app we want
344020	to offer features like push
345430	notifications to inform them even if the
347919	application is closed yes you heard that
349840	correctly this is what you can do and
351909	what we will do in this course so that
355690	is what makes up a progressive web app
358750	now why would we want to build one
362050	obviously we have some good arguments
363909	here but couldn't we achieve the same by
366340	just building a normal mobile app with
368830	Java Android or with Swift objective-c
372810	well let's find out which arguments
376240	speak for a web app instead of a native
378699	mobile app
383600	let's compare native apps with mobile
387120	apps to find out if it makes sense to
390000	build a web app to begin with here's a
393150	number of which might discourage you but
395520	no worries I'll say more about this
397830	number over the next seconds if we have
400860	a look at the usage of our smart phone
404460	here's a report by comScore from 2015
408360	made in the u.s. we see that the average
411449	smartphone user spends 87% of his time
415260	in native apps whereas only 13% of the
420210	time go into the mobile web so the user
423120	visiting a web page in the browser on
425400	the mobile phone now it is clearly
427770	discouraging because why would we build
429990	a mobile web app if a native app is so
433800	much better let's first of all find out
436229	why people spend so much time in native
438870	apps one important factor are push
441570	notifications they drive them back into
444600	the apps you get a push notification you
446850	tab on it you're back into the app push
449550	notifications communicate with you even
451740	if the application is closed even if the
454740	phone is tucked away into your pocket
458360	additionally we have home screen icons
460710	which make it easy to start yet you pull
463710	out your phone you have some time to
465300	spare just open one of the apps and
467460	that's it this is how you use it right
468990	that's harder for web apps web pages of
472200	course you can't add them to the home
473940	screen but it's not like you're
476010	prompting the user to do so you don't
478200	have the app store where people would go
480030	and search for you so getting on your
482430	home screen traditionally has been hard
484080	for a web apps it's a huge plus for
486060	native apps though additionally we have
489300	access to native device features like
490950	the camera geolocation and other things
493380	and of course many native apps also work
496979	offline at least a certain part of these
499650	apps were it's offline
500940	these are all good reasons why people
503340	are using native apps now as I already
505800	said the cool thing about progressive
